Age Range,London Borough,"Noise Level (Location, 1-10)",Noise Description (Location),Commute Length (Time),"Noise Level (Commute, 1-10)",Noise Description (Commute),Public Transport – Weekly Hours,Mode of Transport (Most Frequent),Tube Line(s) (Most Frequent),Do you take noise levels into consideration when planning a journey?,Explanation,Hearing protection on public transport – yes/no?,Hearing protection in general – yes/no?,What/where?,Aware of the effects of high noise levels – yes/no?,Explanation,Further comments
18-21,Kingston upon Thames,3,Building works ,1-1.5 hours,5,Trains at Vauxhall are loud ,8,"Trains, Buses, Walking",Overground – Windrush,No,I have noise cancelling headphones so I turn that on if I’m over simulated ,Yes,Yes,Apple headphone max ones,Not on me but on my dad ,He has lived in zone 1 and 2 his whole life apart from now and his hearing is starting to go,
22-25,Tower Hamlets,4,"Trains, kids yelling, houses walking, the occasional siren/ revving engine",20-30 minutes,5,"Cars, tube",6,"The Tube, Buses, Walking","Central, District, Hammersmith & City, Victoria",No,I just put headphones on,No,No,,No,I didn’t know,
22-25,Islington,6,"Birds, construction, animals, cars",1-1.5 hours,8,Screeching in the tube,10,"The Tube, Buses, Walking","Circle, District, Northern, Piccadilly",No,I will suffer than doing research,No,Yes,Concerts,Yes,Pain in my ears,
22-25,Enfield,3,"Birds, train sounds, cars, bin men, people talking, planes, wild life",1.5-2 hours,7,"Trains screeching, people talking, children shouting, birds, cars beeping, music, escalator noises",9,"The Tube, Buses, Walking","Piccadilly, Victoria",Yes,Sometimes I try and avoid taking the tube and take buses instead or walk because of the tube noise. ,Yes,No,Noise cancelling headphones,Yes,"My aunt and mum suffering from tinnitus, used to live in a very loud area before moving to a relatively quiet one.",
22-25,Islington,4,"Sirens, Cars, birds noises, ice cream truck music and sometime some road rage arguments ",30-60 minutes,9,"I bike so literally every noise possible : cars, sirens, screeching, beeping, people talking, ...",3,"The Tube, Buses, Cycling","Northern, Overground – Mildmay",No,I don't really mind the noise ,No,No,,Yes,I know noise levels can be really damage but I haven't really took it into consideration in my day to day life ,
18-21,Hackney,5,cars,20-30 minutes,5,"children, cars",10,Buses,Northern,No,normally just the quickest route or cheapest ,Yes,Yes,concerts ,Yes,headaches ,
22-25,Barnet,1,Cars and people walking,30-60 minutes,7,Northern line screeches ,14,The Tube,Northern,No,I live on one of the loudest lines so it is unavoidable,No,No,,Yes,Whilst I understand most of the well known effects noise can have a lot of the worst of it is unavoidable and I feel just comes with living in the city,
22-25,Waltham Forest,3,"Cars, buses, overground train, children playing in the park, dogs ",1-1.5 hours,9,"Underground train, police and ambulance sirens, people ",10,The Tube,"Circle, Victoria, Overground – Weaver, Overground – Windrush",No,I were noise cancelling earbuds,Yes,Yes,Too loud becomes over simulating ,Yes,"I think hearing help with balance, I have tinnitus (someone told me that the tfl can cause this) fear of hearing damage due to loud music coming from headphones",
22-25,Southwark,6,"A lot of people shouting, music blasted out loud, police and ambulance sirens",1-10 minutes,7,Police and ambulance sirens,2,"The Tube, Buses, Walking","Bakerloo, Northern",No,As long as I have my headphones with noise cancellation on the noise doesn't really bother me. I would rather take the quickest route than plan according to noise level.,Yes,Yes,Concerts,Yes,Harder to get good quality sleep,
22-25,Lewisham,7,"Car noise, people playing loud music from their cars, emergency vehicles, occasional shouting ",20-30 minutes,4,Often just have my headphones on so not to bad but road noise ,10,"The Tube, Trains, Buses, Walking","Jubilee, Northern, Piccadilly, Overground – Windrush",No,"Because I have noise cancelling headphones, more consider not being underground",Yes,No,Just noise cancelling headphones,Yes,I know you hearing can go early with exposure to loud noise ,
18-21,Tower Hamlets,3,"Birds, odd cars ",30-60 minutes,7,"Tube, hopes phones, chatting, annousments",10,"The Tube, Walking",DLR,No,Everything seems to be noisy in some capicty so I take the quickest route ,Yes,Yes,Any club/ bar I always wear ear plugs. I wear my AirPods on noise cancelling on tube to zone out noise,Yes,Ringing in your ears- that’s why I always wear ear plugs in loud venues ,"As someone who Is neurodivergent it’s hard hearing sounds from everywhere, but this just seems to be London life "
60++,Ealing,5,"Planes, cars, dogs and birds",1-10 minutes,2,Birds and planes,1,The Tube,"Piccadilly, Elizabeth Line",No,You accept it,No,No,,Yes,Yes I am aware of possible damage and how it affects your mood and state of mind,
22-25,Ealing,5,"Sirens, planes, cars, foxes, shouting ",20-30 minutes,5,Traffic noises ,5,The Tube,"District, Piccadilly, Elizabeth Line",No,It’s a part of London life ,No,No,,Maybe,I often become overstimulated by noises which results in poor sleep ,
50-60,Ealing,5,"Birds, dogs, airplanes, cars and buses. People talking when the windows are open. ",30-60 minutes,4,"People talking, train noises and messages.",6,"The Tube, Buses, Walking",Elizabeth Line,No,I select the quickest routes ,No,No,,Maybe,Sometimes too much noise gets into my head and I need to find a quieter space.,Music is good noise.
